"","X","T8724","X3720","X7910","F2673","T1820","F8903","F6962","T8546","T2100","F6350","F3892","T2413","F9135","R3221","X8719","R7919","R9150","F2601","R8774","T4070","R3762","T6591","F8011","T5062","R5657","T5282","F0763","X7790","T5177","T4954"
"11","Q8N3D4_S1257",-1.607843137,-1.470588235,-1.098039216,-0.8823529412,-0.1176470588,-1.019607843,-2.039215686,0.1764705882,-0.6862745098,-1.745098039,-0.6470588235,-0.3529411765,-2.921568627,-2.431372549,-5,-0.6862745098,-4.176470588,-1.235294118,0.4509803922,-0.4901960784,0.137254902,0.8235294118,0.5882352941,1.647058824,1.784313725,0.4509803922,1.274509804,0.6666666667,0.7450980392,0.7254901961
"12","Q9Y2U5_S153",-1.019607843,0.03921568627,-1.019607843,-0.5294117647,-0.568627451,-1.31372549,-1.098039216,-0.7254901961,-1.196078431,-0.7647058824,-0.03921568627,-1.039215686,-0.9019607843,-1.039215686,-5,0.3921568627,-1.607843137,-3.058823529,0.8235294118,-1.215686275,0.3725490196,-0.3529411765,0.4901960784,1.196078431,0.9411764706,0.8039215686,1.137254902,0.862745098,0.7450980392,1.37254902
"13","Q09666_S93",-0.9803921569,-1.941176471,-0.8235294118,-1.725490196,-0.07843137255,-1.450980392,-1.529411765,-0.6274509804,-2.156862745,-5,-0.4117647059,-1.176470588,-1.215686275,-0.5882352941,-2.078431373,-0.4117647059,0.05882352941,-4.333333333,-0.6078431373,0.4117647059,-0.2549019608,1.529411765,1.392156863,1.019607843,1.392156863,1.098039216,0.8039215686,1.37254902,-0.3725490196,0.2352941176
"14","Q09666_S93",-1.411764706,-0.6862745098,-1.235294118,-0.9411764706,0.2156862745,-0.07843137255,-0.9607843137,-0.1176470588,-0.6078431373,-5,-0.8235294118,-1.078431373,-1.411764706,0,-0.8039215686,-0.1764705882,-0.9607843137,-3.823529412,0.2941176471,0.2549019608,0.3725490196,-0.568627451,0.6862745098,1.019607843,1.509803922,1.196078431,1,0.4509803922,0.431372549,0.568627451
"15","Q15121_S116",-0.9019607843,-0.5294117647,-0.2745098039,-0.4901960784,-0.2352941176,-0.3725490196,-1.176470588,-0.3725490196,-0.2156862745,-0.9019607843,-0.3529411765,-0.01960784314,-1.196078431,-0.1764705882,-3.098039216,-1.411764706,-2.980392157,-1.039215686,-0.1568627451,1.098039216,-0.6274509804,0.9607843137,1.098039216,0.137254902,0.862745098,-0.07843137255,1.294117647,0.862745098,0.5098039216,0.5882352941
"16","Q15418_S380",-1.882352941,-1.058823529,-1.588235294,-2.62745098,-2.31372549,-3.490196078,-4.098039216,-0.1176470588,-3.941176471,-2.431372549,0.2156862745,-5,-0.3333333333,-4.058823529,-5,0.6078431373,-4.196078431,-5,-0.3921568627,0.6078431373,0.6862745098,1.980392157,0.1764705882,0.6862745098,-0.3137254902,1.294117647,1.666666667,1.31372549,0.7058823529,1.274509804
"17","Q68CZ2_S776",-1.019607843,-0.09803921569,-0.1176470588,-0.6666666667,0.4705882353,-0.03921568627,-1.098039216,0.568627451,-0.137254902,-1.431372549,-5,0.03921568627,-1.137254902,-1.823529412,-5,-1.588235294,-3.588235294,-4.705882353,0.6666666667,1.117647059,0.5294117647,-0.3921568627,0.6078431373,0.1568627451,0.7647058824,0.9019607843,0.7450980392,0.3921568627,0.9803921569,1.039215686
"18","Q09666_S5110",-1.176470588,-1.31372549,-1.607843137,-2.333333333,-1.156862745,-1.254901961,-2.117647059,-0.9215686275,-2.803921569,-4.941176471,-0.01960784314,-2.607843137,-1.549019608,-1.960784314,-1.37254902,0.5490196078,0.3529411765,-3.176470588,0.01960784314,-0.1960784314,-0.03921568627,0,1.254901961,1.215686275,1.745098039,1.176470588,1.294117647,1.470588235,0.137254902,0.431372549
"19","Q09666_T4766",-2.333333333,-1.196078431,-2.215686275,-2.647058824,-0.568627451,-1.647058824,-1.843137255,0.3137254902,-1.176470588,-4.705882353,-0.9215686275,-1.196078431,-2.196078431,-0.9019607843,-3.705882353,-0.1176470588,-1.725490196,-1.392156863,-0.2156862745,0.4705882353,0.137254902,-0.3725490196,2.137254902,1.156862745,0.6274509804,0.8823529412,1.117647059,1.549019608,0.7647058824,0.7647058824
"20","P14317_Y198",-1.156862745,-0.137254902,-1.921568627,-1.666666667,-0.3725490196,-2.254901961,-1.705882353,-0.3725490196,-3.745098039,0.3333333333,0.5098039216,-4.862745098,-1.568627451,-2.862745098,-0.3333333333,0.7450980392,-0.8431372549,-3.647058824,0.3921568627,0.3725490196,0.2549019608,1.156862745,0.9215686275,0.4705882353,1.058823529,-0.3725490196,0.8235294118,0.9215686275,0.5098039216,1.215686275
"21","Q5T5Y3_S629",-3.745098039,-2.352941176,-3.647058824,-5,-1.156862745,-4.666666667,-5,-1.529411765,-5,0.4117647059,0.2352941176,-5,-0.9215686275,-2.509803922,-5,0.01960784314,0,-5,1.68627451,-3.705882353,0.1764705882,0.5098039216,-0.5098039216,1.62745098,1.31372549,0.8235294118,1.647058824,1.490196078,0.5294117647,1.176470588
"22","P11717_S2409",-3.647058824,-5,-5,-5,-2.980392157,-5,-4.450980392,-4.333333333,-5,-5,-5,-5,-5,-5,-5,0.7843137255,-5,-5,-5,-0.5098039216,0.4509803922,2.333333333,-0.2941176471,2.039215686,1.607843137,1.901960784,1.352941176,1.745098039,0.3333333333,0.9019607843
"23","Q5JSL3_S12",-5,0.1764705882,-2.196078431,-2.803921569,-1.098039216,-5,-1.392156863,-0.6078431373,-5,-2.921568627,0.2941176471,-5,-1.196078431,-2.980392157,-5,-0.2549019608,0.05882352941,-5,0.2549019608,-5,1.294117647,1.941176471,1.352941176,1.568627451,1.392156863,0.2549019608,0.7058823529,0.03921568627,0.862745098,0.862745098
"24","Q8TDJ6_S1400",-1.921568627,-0.3921568627,0.2941176471,-0.7058823529,-1.62745098,-3.450980392,-1,-0.9019607843,-3.980392157,-0.4117647059,-0.3137254902,-5,-5,-4.215686275,-5,0.09803921569,-0.2549019608,-5,-0.2156862745,-2.431372549,-0.2352941176,1.254901961,1.411764706,1.784313725,1,0.9411764706,1.274509804,0.9215686275,0.1960784314,1.196078431
"25","Q9ULT0_S182",-4.31372549,-0.3921568627,-0.9019607843,0.6274509804,-0.7843137255,0.3333333333,-1.392156863,-1.352941176,-1.450980392,-0.7058823529,0.1568627451,-1.37254902,-0.8235294118,-1.392156863,-2.588235294,-0.9019607843,0.1176470588,-0.03921568627,0.1960784314,0.5490196078,0.1176470588,1.294117647,0.8039215686,1.176470588,0.4705882353,0.568627451,0.3137254902,0.6666666667,0.03921568627,0.5294117647
"26","Q09666_S115",-0.8431372549,-1.745098039,-0.1960784314,-0.6862745098,-0.568627451,-0.3921568627,-0.3137254902,0.3725490196,-0.3921568627,-5,-0.4509803922,-0.1764705882,-0.1960784314,0.2549019608,-1.901960784,-0.6862745098,-2.666666667,-1.529411765,-0.09803921569,0.6862745098,0.431372549,0.4117647059,0.862745098,1.450980392,0.6274509804,0.6274509804,0.6274509804,0.9803921569,-0.3137254902,0.137254902
"27","Q6ZNJ1_S2739",-0.3333333333,-1.294117647,-0.2941176471,-1.37254902,0.4901960784,-2.568627451,-0.8431372549,-0.3725490196,-2.37254902,-1.137254902,-1.215686275,-3.019607843,-1.196078431,-2.843137255,-3.725490196,0.9803921569,-0.9803921569,-1.705882353,0.2352941176,-0.1568627451,0.2156862745,0.2352941176,1.058823529,1.333333333,0.9607843137,0.09803921569,0.7254901961,1.058823529,0.5882352941,1.490196078
"28","Q09666_Y121",-0.8431372549,-1.745098039,-0.1960784314,-0.6862745098,-0.568627451,-0.3921568627,-0.3137254902,0.3725490196,-0.3921568627,-5,-0.4509803922,-0.1764705882,-0.1764705882,0.2549019608,-1.901960784,-0.6862745098,-2.68627451,-1.529411765,-0.09803921569,0.6862745098,0.431372549,0.4117647059,0.862745098,1.450980392,0.6274509804,0.6274509804,0.6274509804,0.9803921569,-0.3137254902,0.137254902
"29","Q9UKI2_S89",-0.137254902,-1.254901961,-0.4901960784,-2.31372549,-0.6666666667,-1.68627451,-1.568627451,0.3333333333,-2.392156863,-2.176470588,-0.3725490196,-1.039215686,-1.470588235,-2.941176471,-3.411764706,-0.2549019608,0.09803921569,-3.68627451,1.411764706,-0.3137254902,-0.2549019608,-0.01960784314,1.294117647,1.37254902,0.6470588235,1.705882353,0.9215686275,0.3921568627,-0.4901960784,0.9019607843
"30","Q86TI0_S627",-0.431372549,-0.2941176471,-0.4705882353,-1.019607843,-2,-0.5294117647,-1.823529412,-0.7254901961,-0.862745098,-1.039215686,0.8823529412,-1.588235294,-0.6274509804,-2.254901961,-5,-0.09803921569,-0.3333333333,-1.705882353,0.4117647059,0.5490196078,0.09803921569,1.274509804,0.9019607843,1.549019608,-0.01960784314,-0.01960784314,1.019607843,0.1568627451,0.5098039216,0.7450980392
"31","Q09666_S93",-0.6078431373,-0.9411764706,-0.9019607843,-0.9215686275,0.2549019608,-0.03921568627,-0.3725490196,-0.137254902,-0.7647058824,-3.921568627,-0.3333333333,-0.6078431373,-0.9019607843,0.1960784314,-1.098039216,-0.4509803922,-0.8431372549,-2.392156863,0.1176470588,-0.09803921569,0.2352941176,-0.8823529412,1.196078431,0.8431372549,1.235294118,0.9411764706,0.9019607843,0.7450980392,0.3529411765,0.3529411765
"32","Q09666_S210",-2.156862745,-2,-1.980392157,-2.31372549,-2.098039216,-1.647058824,-4.019607843,-0.8039215686,-3.117647059,-5,0.1764705882,-2.666666667,-1.803921569,-1.274509804,-0.4901960784,0,-0.9411764706,-5,0.01960784314,0.8823529412,-0.8039215686,0.3921568627,0.862745098,0.5490196078,1.764705882,1.68627451,1.156862745,2.156862745,-0.2745098039,0.4509803922
"33","Q09666_S216",-2.156862745,-2,-1.980392157,-2.31372549,-2.098039216,-1.647058824,-4.019607843,-0.8039215686,-3.117647059,-5,0.1764705882,-2.666666667,-1.803921569,-1.274509804,-0.4901960784,0,-0.9411764706,-5,0.01960784314,0.8823529412,-0.8039215686,0.3921568627,0.862745098,0.5490196078,1.764705882,1.68627451,1.156862745,2.156862745,-0.2745098039,0.4509803922
"34","Q09666_S570",-1.568627451,-3.039215686,-5,-5,-2.529411765,-3.529411765,-5,-3.411764706,-5,-5,-5,-2.431372549,-5,-5,-4.196078431,-3.529411765,-3.039215686,-5,-1.137254902,-0.3529411765,-0.5098039216,1.392156863,0.4117647059,2.549019608,1.784313725,2.019607843,2.019607843,1.862745098,-1.039215686,0.3725490196
"35","Q09666_S5110",-0.9215686275,-1.294117647,-1.588235294,-2.62745098,-1.37254902,-1.352941176,-1.843137255,-0.8431372549,-2.784313725,-4.921568627,0.3529411765,-2.529411765,-1.058823529,-1.862745098,-2.078431373,0.1176470588,0.431372549,-3.411764706,-0.4509803922,0.3921568627,-0.4509803922,0.5882352941,1.803921569,0.8431372549,1.37254902,1.274509804,1.156862745,1.62745098,-0.2156862745,0.09803921569
"36","P18669_S14",-0.8823529412,-1.176470588,-0.03921568627,-0.5882352941,-0.7450980392,-1.823529412,-0.6078431373,-0.2745098039,-1.098039216,-0.6862745098,-0.7647058824,-2.176470588,-0.2745098039,-2.980392157,-5,0.8431372549,-5,-0.9411764706,0.1960784314,0.1960784314,-0.7450980392,0.6274509804,0.4509803922,1.411764706,0.4705882353,0.6862745098,1.078431373,1.470588235,0.2352941176,1.215686275
"37","Q09666_S135",-2.450980392,-2.941176471,-5,-3.490196078,-5,-0.2745098039,-5,-3.509803922,-5,-5,-0.3725490196,-4.058823529,-5,-5,-1.960784314,-0.05882352941,-0.5294117647,-5,0.7450980392,0.03921568627,-3.68627451,1.411764706,-1.588235294,1.490196078,2.235294118,2.058823529,1.588235294,1.450980392,-0.1176470588,0.8431372549
"38","Q15418_S380",-0.9215686275,-1.176470588,-1.176470588,-3.196078431,-2.509803922,-3.764705882,-3.137254902,-1.196078431,-4.470588235,-2.078431373,0.7058823529,-5,-0.3333333333,-5,-5,-0.6274509804,-5,-5,-1.549019608,0.6666666667,0.03921568627,2.411764706,0.7450980392,0.6666666667,0.7843137255,1.176470588,1.352941176,1.647058824,0.2941176471,0.9215686275
"39","P34910_S294",-1.215686275,-0.6666666667,-1.450980392,-3.196078431,0.03921568627,-3.450980392,0.2549019608,1.019607843,-1.549019608,-5,-1.039215686,-1.411764706,-0.9803921569,-4.607843137,-5,-0.2745098039,-3.901960784,-1.294117647,-0.03921568627,1.058823529,0.1568627451,1.392156863,1.37254902,1.529411765,0.3725490196,0.9411764706,0.1176470588,0.2941176471,-0.4705882353,1.31372549
"40","Q7Z417_S629",0.1176470588,-0.8235294118,-0.4509803922,-1.843137255,-0.9803921569,0.2156862745,-0.9803921569,0.1764705882,0.137254902,-0.5294117647,-0.7450980392,0.3725490196,-0.7058823529,-2.725490196,-5,-0.8235294118,-0.05882352941,-1.705882353,-0.2156862745,0.8235294118,0.8235294118,1.156862745,0.7254901961,0.03921568627,0.6666666667,0.3725490196,-0.2352941176,1,0.5098039216,0.3725490196
"41","Q9Y2U5_S239",-0.8039215686,-1.078431373,-0.3921568627,-0.4901960784,-0.4117647059,-1.254901961,0.05882352941,-0.1764705882,-0.6470588235,-1.058823529,-0.8039215686,-0.5882352941,-0.1568627451,0.01960784314,-5,-0.2352941176,-5,-1.705882353,-0.3333333333,0.2549019608,-0.07843137255,0.137254902,0.7450980392,1.588235294,0.2156862745,0.1960784314,0.5098039216,1.274509804,1.156862745,0.862745098
"42","P11717_S2484",-0.8823529412,-3.098039216,-3.333333333,-5,-1.352941176,-5,-1.215686275,-1.352941176,-2.137254902,-5,-5,-5,-3.294117647,-1.745098039,-4.37254902,-0.9411764706,-5,-0.09803921569,-4.117647059,0.3333333333,0.862745098,1.058823529,0.6274509804,0.7058823529,0.7450980392,2.588235294,1.588235294,1.529411765,-0.431372549,1.647058824
"43","Q9Y3Z3_S33",-0.1568627451,-2.019607843,-1.941176471,0.09803921569,-1,-2.764705882,-2.392156863,-1.745098039,-2.745098039,-4.607843137,-2.156862745,-3.647058824,-3.470588235,-3.666666667,-0.3921568627,-0.07843137255,-2.235294118,-1.921568627,0.568627451,2.058823529,-0.568627451,0.4509803922,0.9803921569,1.431372549,0.9215686275,2.137254902,1,0.4705882353,-0.6862745098,-0.137254902
"44","Q05655_S664",-1.803921569,-1.098039216,0.5098039216,-1.392156863,0.2156862745,-5,-2.666666667,-0.1176470588,-2.803921569,-0.4509803922,-0.09803921569,-4.764705882,-1.490196078,-5,-5,-0.7254901961,-5,-5,0.3529411765,1.215686275,0.7450980392,2.098039216,0.2549019608,1.254901961,-0.4901960784,-0.3529411765,0.09803921569,1.588235294,0.9803921569,0.7254901961
"45","Q09666_S135",-1.274509804,-0.9803921569,-1.764705882,-1.490196078,-2.098039216,-0.09803921569,-3.039215686,-2.117647059,-2.215686275,-5,0.1960784314,-2.156862745,-1.882352941,-1.607843137,-1.725490196,-0.1176470588,-0.1176470588,-3.980392157,0.3921568627,0.2352941176,-1.960784314,0.9607843137,-0.8235294118,1.117647059,1.823529412,1.882352941,1.450980392,1.450980392,-0.2352941176,0.6274509804
"46","Q9UI15_S185",-0.5490196078,-0.01960784314,-0.4901960784,-2.823529412,-0.6470588235,-2.215686275,-0.5098039216,0.3725490196,0.7647058824,-1.294117647,-0.1764705882,-2.549019608,-0.6274509804,-0.6274509804,-1.666666667,-0.4509803922,-3.019607843,-3.176470588,0.3529411765,-0.5490196078,0.4117647059,0.8039215686,0.1568627451,1.176470588,1.411764706,0.7254901961,0.862745098,-0.2941176471,1,0.6078431373
"47","P43405_S297",-3,0.2941176471,-0.7254901961,-2.62745098,-0.6470588235,-4.058823529,-1.68627451,-1.705882353,-4.549019608,-1.039215686,-0.7647058824,-5,-0.9803921569,-2.549019608,-2.823529412,0.6470588235,-0.4705882353,-5,0.137254902,-2.333333333,0.4509803922,-0.07843137255,1.294117647,1.647058824,1.352941176,0.1176470588,1.529411765,0.8823529412,0.09803921569,1.882352941
"48","Q6ICG6_S306",-0.1960784314,0.6862745098,-1.196078431,-1.470588235,-1.843137255,-2.450980392,-1.176470588,-0.3333333333,-1.333333333,-1.411764706,-0.6470588235,-2.294117647,-1.470588235,-2.411764706,-5,-0.3529411765,-3.705882353,0.3921568627,0.5294117647,0.137254902,0.2156862745,1.823529412,0.568627451,0.7647058824,0.8431372549,1.254901961,0.1568627451,0.4117647059,-0.6666666667,1.588235294
"49","Q12802_S1559",-0.4117647059,0.01960784314,-0.7450980392,-0.9411764706,-0.4117647059,-0.8823529412,-0.2941176471,-0.8235294118,-0.9215686275,-5,-1.568627451,-1.411764706,-1.333333333,-1.254901961,-5,-0.4705882353,0.568627451,0.2941176471,0.6470588235,-0.3333333333,-0.568627451,0.862745098,0.6470588235,0.8823529412,0.4901960784,1.607843137,0.5882352941,0.2941176471,0.1960784314,1.254901961
"50","Q32MZ4_S768",-5,-0.3137254902,-0.2745098039,0.431372549,-5,0.431372549,-0.01960784314,-5,-0.6078431373,-2.235294118,-1.098039216,-5,0.3725490196,0.05882352941,-3.333333333,-5,0.568627451,-0.5098039216,0.5098039216,0.03921568627,0.6078431373,-0.01960784314,0.7450980392,1.156862745,0.9803921569,0.4901960784,0.9607843137,0.3137254902,0.568627451,0.862745098
"51","Q99759_S166",-5,-1.156862745,-5,-2.470588235,-5,-1.68627451,-5,-5,-5,-5,-0.4705882353,-5,-0.05882352941,-5,-5,1.176470588,-5,-5,-0.6862745098,-0.2549019608,-1.588235294,1.862745098,-0.3137254902,1.862745098,1.68627451,1.137254902,1,2.078431373,0.4117647059,1.176470588
"52","Q13671_S333",-3.862745098,0,-0.9607843137,-2.274509804,-1.333333333,-2.725490196,-2.235294118,-0.431372549,-4,0.1568627451,-0.1176470588,-3.725490196,-0.3725490196,-2.333333333,-1.37254902,0.9411764706,-1.294117647,-5,0.1176470588,-1.490196078,0.03921568627,0.7450980392,0.9411764706,1.549019608,1.392156863,0.7058823529,1.549019608,1.019607843,-0.3137254902,0.9215686275
"53","A6NMY6_Y24",-1.764705882,-0.9215686275,-3.509803922,-4.058823529,-2.725490196,-1.960784314,-2.705882353,-4.156862745,-4.058823529,-3.274509804,-5,-5,-4.980392157,-4.274509804,-5,0.7450980392,-3.235294118,-2.078431373,-0.4901960784,-0.9215686275,-1.882352941,0.9803921569,0.9019607843,2.549019608,1.509803922,1.352941176,1.392156863,1.607843137,-0.431372549,1.62745098
"54","P09601_S229",-4,-0.6274509804,-4.392156863,-4.352941176,-3.666666667,-5,-3.450980392,-1.764705882,-5,-3.117647059,-5,-5,-5,-5,-0.431372549,0.2941176471,-0.1568627451,-1.901960784,-2.254901961,-1.960784314,-1.62745098,1.31372549,1.62745098,1.019607843,1.68627451,2.37254902,0.3529411765,1.37254902,0.6470588235,1.666666667
"55","Q6ICG6_S362",-0.4117647059,0.1960784314,-1.725490196,-0.4509803922,-1.274509804,-1.411764706,0.4705882353,-0.03921568627,-1.725490196,-1.666666667,-0.3725490196,-0.862745098,-1.117647059,-2.549019608,-5,-0.05882352941,-5,-0.9019607843,-0.6666666667,1.352941176,-0.2156862745,1.392156863,0.5882352941,0.6470588235,0.5098039216,0.4509803922,0.6274509804,0.8039215686,-0.3529411765,1.666666667
"56","Q6IQ26_S193",-0.2156862745,0.03921568627,-0.1176470588,-1.294117647,-0.1176470588,-3.411764706,-0.6470588235,-0.3725490196,-5,-1.352941176,-0.1176470588,-3.392156863,-0.7843137255,-1.470588235,-5,0.3529411765,-0.568627451,-3.176470588,0.5098039216,0.2745098039,0.3137254902,1.784313725,1.392156863,0.7254901961,0.4509803922,-0.6666666667,0.1568627451,0.8039215686,0.09803921569,1.235294118
"57","Q92597_T328",-5,-5,-4.31372549,-1.450980392,-5,0.431372549,-5,-1.137254902,-2.843137255,-5,-1.862745098,-4.529411765,-5,-3.568627451,-5,-3.980392157,-5,-5,-2.274509804,0.1960784314,-5,2.549019608,0.05882352941,1.803921569,1.68627451,1.568627451,0.4901960784,1.882352941,-0.05882352941,1.666666667
"58","Q92597_S330",-5,-5,-4.31372549,-1.450980392,-5,0.431372549,-5,-1.137254902,-2.843137255,-5,-1.862745098,-4.529411765,-5,-3.568627451,-5,-3.980392157,-5,-5,-2.274509804,0.1960784314,-5,2.549019608,0.05882352941,1.803921569,1.68627451,1.568627451,0.4901960784,1.882352941,-0.05882352941,1.666666667
"59","Q96PK6_S256",-1.117647059,0.6666666667,-0.2156862745,-1.058823529,-0.1764705882,-1.392156863,-0.6470588235,-0.568627451,-1.568627451,-0.7647058824,0.05882352941,-2.215686275,-0.3725490196,-2.666666667,-0.2941176471,0.568627451,-0.1176470588,-1.470588235,0.1960784314,0.1764705882,0.2156862745,0.07843137255,0.3921568627,0.6470588235,0.6666666667,1.098039216,0.5882352941,0.6470588235,0,1.117647059
"60","Q9P107_S914",-0.862745098,-0.01960784314,-0.431372549,0.137254902,0.1176470588,-0.07843137255,-0.1176470588,-0.2156862745,-0.2352941176,-0.8431372549,-0.431372549,-0.1764705882,-0.4117647059,-0.7254901961,-5,-0.7254901961,-2.823529412,-1.411764706,0.431372549,-0.7647058824,0.2352941176,1.254901961,1.078431373,0.5098039216,0.1568627451,0.9411764706,0.3921568627,-0.09803921569,0.5098039216,0.6274509804
"61","P43405_S297",-2.019607843,-0.2745098039,-0.7647058824,-2.62745098,-2.62745098,-3.901960784,-1.568627451,-2.37254902,-4.470588235,-0.9803921569,0.2941176471,-3.215686275,-0.9411764706,-2.62745098,-3.411764706,0.862745098,-0.3137254902,-2.882352941,-0.2156862745,-2.098039216,0.2549019608,-0.2352941176,1.411764706,1.607843137,1.333333333,0.03921568627,1.470588235,1.411764706,0.1176470588,1.607843137
"62","Q09666_S93",-0.7450980392,-0.4901960784,-0.5490196078,-0.7450980392,-0.3725490196,-0.6862745098,-0.8039215686,-0.2549019608,-1.294117647,-3.705882353,-0.7450980392,-1.274509804,-1.098039216,-0.4117647059,-0.137254902,0.2745098039,0.01960784314,-1.215686275,0.3725490196,0.2745098039,-0.4901960784,-0.5098039216,0.2941176471,0.7843137255,1.392156863,1.470588235,0.7647058824,0.9019607843,-0.3921568627,0.7647058824
"63","P26641_T46",-2.215686275,-0.9803921569,-1,-3.352941176,-1.568627451,-5,-1.803921569,-1.549019608,-5,-2.294117647,-2.725490196,-5,-0.6862745098,-5,-5,1.078431373,-1.039215686,-3.450980392,-0.1176470588,-0.2745098039,-1.647058824,-1,0.862745098,1.941176471,1.647058824,1.529411765,1.196078431,1.843137255,-0.5490196078,1.68627451
"64","Q6ZNJ1_T1867",-1.450980392,-3.411764706,-1.294117647,-2.568627451,1.078431373,-5,-2.235294118,-1.607843137,-5,-1.254901961,-0.7058823529,-5,-2.019607843,-5,-2.941176471,0.6274509804,-2.392156863,-3.862745098,-1.078431373,0.5294117647,0.3137254902,1.431372549,0.9411764706,1.549019608,1.039215686,-1.509803922,1.647058824,2.039215686,-0.2549019608,0.9215686275
"65","P14598_S348",-5,-0.9411764706,-5,-5,-2.901960784,-5,-5,-3.333333333,-5,-5,-5,-5,0.2745098039,-5,-5,0,-2.31372549,-5,-0.6274509804,-1.921568627,-2.392156863,2.098039216,-5,1.941176471,1.745098039,1.156862745,1.078431373,2.098039216,0.3921568627,2.058823529
